id,data,objecte_analitzat,tipus,que_n_hem_tret,skill_resultant
A-01,2026-07,Resum mensual in-app de @cbgrupbarna abril-juny 2026,dada propia,El reel es el motor mesurat en seguidors i no en visualitzacions,crecimiento-ig-cbgb
A-02,2026-07,Perfil IG propi: nom + bio + pins + primers 9 + destacades,auditoria propia,El coll d'ampolla es la conversio (0.03%) i no l'abast,aparador-perfil-cbgb + aparador-ig-cbgb
A-03,2026-07,Insights del reel Campus Summer 2026,autopsia propia,IG dona un lot de prova; guardats i compartits decideixen si escala,arrencada-reels-cbgb
A-04,2026-07,Post CAMPEONES (15K visualitzacions),cas propi,15.000 visualitzacions -> 1 seguidor: la porta esta tancada,aparador-perfil-cbgb
A-05,2026-07,Post SOM CLOT (748 visualitzacions),cas propi,L'epica en estatic es mor per fatiga de repeticio,aparador-perfil-cbgb
A-06,2026-07,Retallades de portada a Reels i Feed i graella,analisi tecnica,Una portada vertical amb el centre protegit serveix les 3 superficies,portada-reels-cbgb
A-07,2026-07,Video-lliçó sobre el ganxo,referencia externa,El ganxo car declara el que hi ha en joc; el barat descriu,ganxos-cbgb
A-08,2026-07,Tutorial de l'efecte brutalisme,referencia tecnica,Invertir-lo: la jugadora es recompon del caos = revelacio de fitxatge,efecto-brutalismo-cbgb
A-09,previ,Pau Gasol Academy @academypaugasol,benchmark,Els 10 formats formatius que mes abast generen,benchmark-pau-gasol-academy-cbgb + reels-cbgb
A-10,previ,FC Barcelona Basket @fcbbasket,benchmark,Reels com a motor i matchday com a espectacle a escala de barri,benchmark-barca-basket-cbgb
A-11,previ,Clubs de barri: SESE i UE Horta i CB Roser,benchmark,Tesi de club a mitja/tribu de barri + Fallada A i B,benchmark-clubs-barri-cbgb
A-12,previ,16 clubs de Lliga Femenina Endesa + referencia WNBA,benchmark,Patrons de comunicacio del basquet femeni,benchmark-clubs-femenins-cbgb
A-13,previ,Dior + Vogue + Elie Saab + Bvlgari + Jordan Roth,benchmark de luxe,5 pates de desig i pertinença traduides a reels de barri,codis-lux-cbgb (fusio de 5)
A-14,previ,CapCut Pro,manual d'eina,Fluxos de club i funcions IA per a peces verticals,capcut-pro-cbgb + capcut-reels-cbgb
A-15,2026-07,Ecosistema propi de 36 skills,auditoria interna,2 duplicats + 8 referencies trencades + cap control de versions,memoria-cbgb + obertes.md
A-16,2026-08,Paquet d'escuts de 77 clubs rivals (Calendari Global FCBQ 04/08/2026),actiu propi,74 escuts validats + 3 provisionals; base per a cartells de duel i carrusels,partits (web) + produccio-cartells
A-17,2026-08,Reorganitzacio de l ecosistema de skills a ~/.claude/skills/synced/,auditoria interna,38 skills del club gestionades per sincronitzacio externa + 2 propies fora; 9 referencies segueixen trencades,memoria-cbgb + obertes.md O-14
A-18,2026-08,Reconciliacio de l ecosistema del 14/08 12:06 UTC,auditoria interna,38 skills del club identiques al backup: cap canvi des del 13/08. Repo i synced alineats,memoria-cbgb
