id,data,llei,baula_cadena,confianca,n,origen,estat
L-01,2026-07,Instagram no dona abast sino un LOT DE PROVA; l'escala nomes si hi ha guardats i compartits,2-reenviament,mitjana,1 reel,arrencada-reels-cbgb,vigent
L-02,2026-07,El ganxo barat DESCRIU l'accio; el ganxo car DECLARA el que hi ha en joc,1-ganxo,alta,qualitativa,ganxos-cbgb,vigent
L-03,2026-07,La primera linia de la bio es una PROMESA i no una identitat,4-aparador,alta,qualitativa,aparador-perfil-cbgb,vigent
L-04,2026-07,L'epica en estatic es mor: si es text epic ha de portar moviment o cara,4-aparador,alta,1 cas amb 6-16x de diferencia,aparador-perfil-cbgb,vigent
L-05,2026-07,Un percentatge sense denominador menteix; mirar volum absolut de no-seguidors,transversal,alta,metodologica,arrencada-reels-cbgb,vigent
L-06,2026-07,El motor es el reel i la metrica son seguidors nous i % d'externs,5-mix,alta,3 mesos de serie propia,crecimiento-ig-cbgb,vigent
L-07,2026-07,La portada es dissenya vertical 9:16 amb el centre protegit,3-portada,alta,3 retallades simultanies verificades,portada-reels-cbgb,vigent
L-08,2026-07,El ganxo s'escriu abans de gravar perque determina quin pla cal,1-ganxo,alta,operativa,ganxos-cbgb,vigent
L-09,2026-07,L'abast mai va ser el problema: el coll d'ampolla es la CONVERSIO,transversal,alta,0.03% amb 439K visualitzacions,crecimiento-ig-cbgb,vigent
L-10,2026-07,Es creix mes amb la meitat de peces si son les correctes,5-mix,mitjana,1 mes amb component estacional,crecimiento-ig-cbgb,revisar-al-tancament
