id,data,que_crediem,que_hem_corregit,evidencia,on_ha_quedat_escrit
C-01,2026-07,El carrusel es el cavall de tir de l'abast i el reel fa de suport,El reel es el motor mesurat en seguidors; el carrusel inflava visualitzacions sense convertir,juny: 40 peces i 352K visualitzacions -> +103 seguidors,crecimiento-ig-cbgb + D-01
C-02,2026-07,Origen Feed 95.5% vol dir que nomes ho han vist els nostres seguidors,El Feed serveix recomanacions a externs: el 57.3% eren no-seguidors,pestanya Audiencia del reel Campus,arrencada-reels-cbgb + M-09
C-03,2026-07,Cal produir mes per creixer,Es creix mes amb la meitat de peces si son les correctes,junio 40 peces +103 vs maig 84 peces +60,crecimiento-ig-cbgb + M-01
C-04,2026-07,Publicar a la franja optima 21-24h ajuda a captar,Aquesta franja es la dels teus seguidors: fidelitza pero no capta,analisi d'horaris vs origen d'abast,crecimiento-ig-cbgb + M-08
C-05,2026-07,La bio ha d'explicar que som (60 anys i 34 equips i professional),La bio ha de dir que hi guanya qui et segueix: es una promesa no una identitat,la bio parlava a la familia Barna i no al de fora,aparador-perfil-cbgb + D-04
C-06,2026-07,Club basquet professional al camp Nom posiciona nivell,Ningu ho busca i crea desajust; el Nom es el camp de cerca i ha de dir basquet + Clot,captura de perfil juliol 2026,aparador-perfil-cbgb + M-07
C-07,2026-07,La visualitzacio total es la metrica de si una peça ha funcionat,La metrica-jefe es la conversio: seguidors nous dividit per abast,15.000 visualitzacions -> 1 seguidor,crecimiento-ig-cbgb + D-03
C-08,2026-07,Els likes indiquen que un reel funciona,Els likes no distribueixen; manen guardats i compartits,reel Campus: 20 likes amb 0 guardats i 0 compartits,arrencada-reels-cbgb + D-08
C-09,2026-07,El registre epic roig/negre amb text es el to per defecte del club,L'epica en estatic es mor per fatiga de repeticio; reservar-la a 3-4 peces de Feed,SOM CLOT 748 vs 3-12K de la resta,aparador-perfil-cbgb + M-06
C-10,2026-07,Un percentatge en verd marcat com a Superior es una bona senyal,Un percentatge sense denominador menteix: 0.2% era 1 comentari sobre ~500,Insights del reel Campus,arrencada-reels-cbgb + L-05
C-11,2026-07,La portada del reel es pot dissenyar quadrada per a la graella,Es dissenya vertical 9:16 amb el centre protegit perque hi ha 3 retallades alhora,mapa de retallades Reels i Feed i graella,portada-reels-cbgb + D-07
C-12,2026-07,L'efecte brutalisme serveix per trencar la imatge com al tutorial,Invertit: la jugadora es recompon del caos. Aixo es un relat i no un efecte,reformulacio propia del tutorial,efecto-brutalismo-cbgb
C-13,2026-07,Cinc skills separades de codis de luxe donen mes criteri,Fusionades en una taula d'eleccio: mateix criteri amb menys context,revisio de l'ecosistema,codis-lux-cbgb
C-14,2026-07,Reels-cbgb ja cobria el ganxo perque diu ganxo als primers 2 segons,Deia QUE cal pero no COM s'escriu: buit real de l'ecosistema,revisio de l'ecosistema,ganxos-cbgb
C-15,2026-07,Llegir skills abans de produir gasta tokens,El car es el esborrany equivocat: llegir dirigit surt mes barat,protocol propi,arranque-eficiente
