skill,domini,estat,mes,que_aporta
cbgb,mestra,actualitzada,2026-07,Punt d'entrada i enrutat; taula refeta + flux de la cadena de conversio
arranque-eficiente,protocol,nova,2026-07,Skills primer i tokens al minim; envolta tot encarrec
doctrina-juliol-2026-cbgb,sintesi,nova,2026-07,La cadena de conversio de 5 baules i els numeros del mes
memoria-cbgb,memoria,nova,2026-07,Com consultar i escriure la BBDD de coneixement
crecimiento-ig-cbgb,creixement,nova,2026-07,El motor es el reel; metrica = seguidors i % d'externs
aparador-perfil-cbgb,conversio,nova,2026-07,Bio canonica i 3 pins i primers 9 i licco SOM CLOT
aparador-ig-cbgb,conversio,duplicada,2026-07,Mateix diagnostic en catala amb detall de destacades
ganxos-cbgb,copy,nova-ampliada,2026-07,Aposta + promesa; banc de 8 formules i subhook i tercera persona i 10 arrencades visuals
arrencada-reels-cbgb,qualitat,nova,2026-07,Lot de prova i guardats/compartits i frame 0 i autopsia
portada-reels-cbgb,conversio,nova,2026-07,Caratula vertical 9:16 amb centre protegit i graella
efecto-brutalismo-cbgb,produccio,nova,2026-07,Revelacio invertida per codi: la jugadora es recompon
reel-fotos-cbgb,produccio,nova-ampliada,2026-07,Reel 9:16 des de fotos reals per codi; escut dalt-dreta i linia vermella i portada custom
transicions-virals-cbgb,contingut,nova,2026-07,Transicio per accio (el moviment amaga el tall) i ganxo de llista numerada
guions-virals-cbgb,contingut,FALTA,-,Referenciada per transicions-virals-cbgb pero no instal-lada
reel-illustrat-cbgb,produccio,nova,2026-07,Reel d'una il-lustracio amb push-in i text cinetic
captacio-pack-cbgb,sponsors,nova,2026-07,Pla + dossier + full de targets de patrocini
codis-lux-cbgb,criteri,fusionada,2026-07,Fusio de les 5 skills de codis de luxe en taula d'eleccio
codis-dior-cbgb,criteri,absorbida,previ,Substituida per codis-lux-cbgb
codis-vogue-cbgb,criteri,absorbida,previ,Substituida per codis-lux-cbgb
codis-elie-saab-cbgb,criteri,absorbida,previ,Substituida per codis-lux-cbgb
codis-bvlgari-cbgb,criteri,absorbida,previ,Substituida per codis-lux-cbgb
codis-jordan-roth-cbgb,criteri,absorbida,previ,Substituida per codis-lux-cbgb
benchmark-clubs-barri-cbgb,benchmark,vigent,previ,Tesi mitja/tribu de barri i Fallada A i B i 4 series
benchmark-pau-gasol-academy-cbgb,benchmark,vigent,previ,10 formats formatius de mes abast
benchmark-barca-basket-cbgb,benchmark,vigent,previ,Reels com a motor i matchday com a espectacle
benchmark-clubs-femenins-cbgb,benchmark,vigent,previ,Patrons de comunicacio del basquet femeni
luxury-logic-cbgb,criteri,vigent,previ,Logica de marca de luxe aplicada al club
sistema-visual-cbgb,marca,vigent-incompleta,previ,Tokens exactes; li falta assets/tokens.conf
disseny-cartells-cbgb,grafica,vigent,previ,Criteri de cartells nivell elit
produccio-cartells,grafica,vigent,previ,Fabricacio i exportacio de cartells
reels-cbgb,contingut,vigent,previ,Que gravar i per que funciona
video-club-cbgb,video,vigent,previ,Edicio operativa amb CapCut i ffmpeg
video-estrella-cbgb,video,vigent,previ,Peces d'elit tipus hype edit
cinema-estrelles-cbgb,video,vigent,previ,Athlete film i lenguatge cinematografic
capcut-pro-cbgb,eina,vigent,previ,Manual complet de CapCut
capcut-reels-cbgb,eina,vigent,previ,CapCut aplicat nomes a reels
patrocinis-club,sponsors,vigent,previ,Estrategia de patrocini i nivells i scripts
ana-innovacio-barna,innovacio,vigent,previ,Angle nou proactiu a cada sortida
cb-grup-barna,identitat,FALTA,-,Referenciada per /cbgb pero no instal-lada
mi-rol-coordinadora,perfil,FALTA,-,Referenciada per /cbgb i arranque-eficiente pero no instal-lada
millorar-club-top-bcn,estrategia,FALTA,-,Referenciada per /cbgb pero no instal-lada
disseny-estetic-club,estetica,FALTA,-,Referenciada per /cbgb i sistema-visual pero no instal-lada
psicologia-social-club,comunitat,FALTA,-,Referenciada per /cbgb pero no instal-lada
referent-basquet-espanyol,context,FALTA,-,Referenciada per /cbgb pero no instal-lada
crear-apps-webs-club,producte,FALTA,-,Referenciada per /cbgb pero no instal-lada
xarxes-socials-club,contingut,FALTA,-,Referenciada per benchmark-clubs-barri i crecimiento-ig pero no instal-lada
